Price,Return on Equity,EPS,Book/Share,Next Price
34.3,28.52,0.56,2.20,34.41
34.41,28.52,0.56,2.20,34.09
34.09,28.52,0.56,2.20,33.97
33.97,28.52,0.56,2.20,34.01
34.01,28.52,0.56,2.20,33.7
33.7,28.52,0.56,2.20,33.7
33.7,28.52,0.56,2.20,33.6
33.6,28.52,0.56,2.20,33.54
33.54,28.52,0.56,2.20,32.87
32.87,28.52,0.56,2.20,32.25
32.25,28.52,0.56,2.20,32.8
32.8,28.52,0.56,2.20,32.57
32.57,28.52,0.56,2.20,32.71
32.71,28.52,0.56,2.20,32.61
32.61,28.52,0.56,2.20,32.06
32.06,28.52,0.56,2.20,32.37
32.37,28.52,0.56,2.20,31.99
31.99,28.52,0.56,2.20,32.0
32.0,28.52,0.56,2.20,32.0
32.0,28.52,0.56,2.20,32.19
32.19,28.52,0.56,2.20,31.61
31.61,28.52,0.56,2.20,31.83
31.83,28.52,0.56,2.20,32.0
32.0,28.52,0.56,2.20,32.57
32.57,28.52,0.56,2.20,32.67
32.67,28.52,0.56,2.20,32.66
32.66,28.52,0.56,2.20,32.59
32.59,28.52,0.56,2.20,32.98
32.98,28.52,0.56,2.20,32.94
32.94,28.52,0.56,2.20,33.83
33.83,28.52,0.56,2.20,32.77
32.77,28.52,0.56,2.20,32.49
32.49,28.52,0.56,2.20,32.75
32.75,28.52,0.56,2.20,33.0
33.0,28.52,0.56,2.20,33.27
33.27,28.52,0.56,2.20,33.28
33.28,28.52,0.56,2.20,32.11
32.11,28.52,0.56,2.20,31.75
31.75,28.52,0.56,2.20,31.44
31.44,28.52,0.56,2.20,30.72
30.72,28.52,0.56,2.20,30.69
30.69,28.52,0.56,2.20,30.83
30.83,28.52,0.56,2.20,30.78
30.78,28.52,0.56,2.20,31.74
31.74,28.52,0.56,2.20,31.76
31.76,28.52,0.56,2.20,32.14
32.14,28.52,0.56,2.20,31.67
31.67,28.52,0.56,2.20,32.0
32.0,28.52,0.56,2.20,31.7
31.7,28.52,0.56,2.20,31.75
31.75,28.52,0.56,2.20,31.85
31.85,28.52,0.56,2.20,32.06
32.06,28.52,0.56,2.20,32.09
32.09,28.52,0.56,2.20,32.59
32.59,28.52,0.56,2.20,33.22
33.22,28.52,0.56,2.20,33.34
33.34,28.52,0.56,2.20,33.63
33.63,28.52,0.56,2.20,33.48
33.48,28.52,0.56,2.20,33.71
33.71,28.52,0.56,2.20,33.69
33.69,28.52,0.56,2.20,33.96
33.96,28.52,0.56,2.20,34.55
34.55,28.52,0.56,2.20,34.81
34.81,28.52,0.56,2.20,34.71
34.71,28.52,0.56,2.20,35.06
35.06,28.52,0.56,2.20,34.91
34.91,28.52,0.56,2.20,34.62
34.62,28.52,0.56,2.20,34.87
34.87,28.52,0.56,2.20,34.47
34.47,28.52,0.56,2.20,34.98
34.98,28.52,0.56,2.20,35.56
35.56,28.52,0.56,2.20,35.48
35.48,28.52,0.56,2.20,35.24
35.24,28.52,0.56,2.20,35.48
35.48,28.52,0.56,2.20,35.4
35.4,28.52,0.56,2.20,35.34
35.34,28.52,0.56,2.20,35.17
35.17,28.52,0.56,2.20,35.07
35.07,28.52,0.56,2.20,34.71
34.71,28.52,0.56,2.20,34.37
34.37,28.52,0.56,2.20,35.99
35.99,28.52,0.56,2.20,36.38
36.38,28.52,0.56,2.20,36.45
36.45,28.52,0.56,2.20,37.0
37.0,28.52,0.56,2.20,37.23
37.23,28.52,0.56,2.20,37.34
37.34,28.52,0.56,2.20,37.44
37.44,28.52,0.56,2.20,36.01
