Date,Open,High,Low,Close,Volume
2007-01-03,40.77,41.55,40.43,40.95,641400
2007-01-04,40.75,41.19,40.13,41.14,1023100
2007-01-05,41.09,41.17,40.44,40.46,490600
2007-01-08,40.42,40.43,39.66,40.03,359900
2007-01-09,39.97,40.57,39.65,40.46,420300
2007-01-10,40.32,40.32,39.81,40.15,293700
2007-01-11,40.2,40.73,40.2,40.53,241500
2007-01-12,40.42,40.7,40.36,40.36,333700
2007-01-16,40.99,40.99,40.24,40.37,280500
2007-01-17,40.22,41.19,40.03,41.06,374900
2007-01-18,40.97,41.14,40.06,40.07,245200
2007-01-19,40.12,40.55,40.08,40.25,220500
2007-01-22,40.33,40.33,39.83,40.3,285700
2007-01-23,40.23,41.0,40.16,40.9,465800
2007-01-24,41.15,42.2,41.15,42.05,584800
2007-01-25,42.05,42.25,41.7,41.88,507000
2007-01-26,41.98,42.05,41.43,42.05,433400
2007-01-29,42.05,42.53,42.0,42.34,537900
2007-01-30,42.34,42.83,42.34,42.68,756800
2007-01-31,42.43,42.57,41.55,41.62,1321100
2007-02-01,41.82,41.91,40.34,40.5,1524300
2007-02-02,40.69,40.96,40.35,40.71,853300
2007-02-05,40.71,40.73,40.31,40.44,865700
2007-02-06,40.39,40.55,40.1,40.43,721700
2007-02-07,40.56,41.08,40.34,40.86,401200
2007-02-08,40.87,41.09,40.68,40.84,468900
2007-02-09,40.9,41.2,40.8,41.0,455400
2007-02-12,40.97,41.5,40.97,40.98,467113
2007-02-13,40.91,41.65,40.81,41.14,293289
2007-02-14,41.3,41.61,41.06,41.44,403950
2007-02-15,41.48,41.66,41.24,41.49,381400
2007-02-16,41.39,41.45,41.07,41.26,363800
2007-02-20,41.12,42.02,41.04,41.69,430700
2007-02-21,41.51,41.79,41.35,41.75,223300
2007-02-22,41.75,41.92,41.47,41.83,388000
2007-02-23,41.89,41.91,41.61,41.75,371200
2007-02-26,41.95,42.28,41.76,42.06,476200
2007-02-27,41.35,41.75,40.66,41.12,952700
2007-02-28,41.13,41.41,40.75,41.23,480700
2007-03-01,41.02,41.4,40.44,40.67,393200
2007-03-02,40.57,40.74,39.85,40.0,522600
2007-03-05,39.65,40.12,39.0,39.31,695900
2007-03-06,39.63,39.7,39.24,39.65,723200
2007-03-07,39.54,39.7,39.3,39.45,283300
2007-03-08,40.95,42.15,40.85,41.36,840000
2007-03-09,41.71,42.5,41.71,42.27,471500
2007-03-12,41.92,42.15,41.0,41.51,454500
2007-03-13,41.35,41.35,40.78,40.84,413800
2007-03-14,40.93,41.88,40.56,41.23,409700
2007-03-15,41.14,41.55,41.01,41.26,364800
2007-03-16,41.27,41.35,40.54,40.64,259800
2007-03-19,40.89,41.2,40.73,40.99,246700
2007-03-20,41.02,41.19,40.9,41.16,218000
2007-03-21,41.1,41.81,40.91,41.8,267500
2007-03-22,42.0,42.59,42.0,42.59,442100
2007-03-23,42.49,42.95,42.4,42.72,439500
2007-03-26,42.79,42.79,41.85,42.21,293500
2007-03-27,42.01,42.05,41.43,41.61,172800
2007-03-28,41.55,41.55,40.83,41.05,244900
2007-03-29,41.25,41.41,40.38,40.87,321900
2007-03-30,41.12,42.19,41.01,42.15,528100
2007-04-02,42.14,42.41,41.52,41.84,251900
2007-04-03,41.9,42.11,41.68,41.79,330000
2007-04-04,41.79,41.87,41.33,41.49,427600
2007-04-05,41.49,41.62,41.23,41.61,255000
2007-04-09,41.75,42.03,41.69,41.83,296600
2007-04-10,41.8,41.98,41.58,41.71,197000
2007-04-11,41.63,41.75,41.39,41.6,202700
2007-04-12,41.6,41.99,41.24,41.99,209000
2007-04-13,42.33,42.5,42.0,42.34,257640
2007-04-16,42.47,42.7,42.37,42.55,235500
2007-04-17,42.7,42.89,42.46,42.86,424767
2007-04-18,42.86,42.93,42.38,42.84,408500
2007-04-19,42.84,42.9,42.4,42.6,282600
2007-04-20,42.9,43.6,42.88,43.6,371400
2007-04-23,43.64,43.87,43.31,43.54,402900
2007-04-24,43.65,43.75,43.02,43.22,305400
2007-04-25,43.47,44.28,43.39,43.99,632740
2007-04-26,43.92,44.57,43.6,44.45,682200
2007-04-27,44.46,44.86,44.17,44.78,419500
2007-04-30,44.75,44.95,44.38,44.55,496800
2007-05-01,44.6,44.62,44.19,44.52,367700
2007-05-02,44.51,45.36,44.5,45.22,501491
2007-05-03,43.73,43.84,41.46,43.39,2630640
2007-05-04,43.4,44.04,42.82,43.94,781230
2007-05-07,43.74,44.02,43.62,43.77,553700
2007-05-08,43.78,43.67,43.25,43.62,388800
2007-05-09,43.4,43.51,43.03,43.35,545300
2007-05-10,43.15,43.3,42.46,42.53,670600
2007-05-11,42.53,42.81,41.8,41.88,1364400
2007-05-14,41.8,42.0,41.63,42.0,792100
2007-05-15,41.9,42.1,41.63,41.71,389700
2007-05-16,41.76,42.48,41.57,42.46,423000
2007-05-17,42.36,42.51,41.85,42.25,335700
2007-05-18,42.31,42.61,42.26,42.38,259400
2007-05-21,42.35,42.75,42.19,42.61,146500
2007-05-22,42.57,42.89,42.3,42.67,196500
2007-05-23,42.87,42.87,42.23,42.33,132000
2007-05-24,42.33,42.65,41.67,41.78,262700
2007-05-25,41.85,42.48,41.62,42.27,455300
2007-05-29,42.27,42.83,42.27,42.81,443500
2007-05-30,42.56,43.0,42.44,43.0,335600
2007-05-31,43.01,43.11,42.47,42.64,393500
2007-06-01,42.7,42.9,42.5,42.75,421300
2007-06-04,42.7,42.88,42.61,42.8,320000
2007-06-05,42.59,42.6,42.14,42.41,473200
2007-06-06,42.21,42.22,41.79,41.9,308700
2007-06-07,41.69,41.97,41.4,41.5,367600
2007-06-08,41.5,41.88,41.39,41.72,345500
2007-06-11,41.67,42.33,41.67,42.11,242300
2007-06-12,41.86,42.22,41.44,41.72,274100
2007-06-13,41.72,42.04,41.52,41.92,338100
2007-06-14,41.97,42.55,41.89,42.02,394900
2007-06-15,42.18,42.45,42.18,42.21,347900
2007-06-18,42.22,42.51,42.01,42.47,487000
2007-06-19,42.35,45.81,42.12,45.5,1812400
2007-06-20,47.0,49.58,47.0,47.76,2353500
2007-06-21,47.74,48.74,47.3,48.23,692000
2007-06-22,48.01,48.68,47.87,48.13,1018100
2007-06-25,48.3,48.7,48.0,48.06,808000
2007-06-26,48.86,49.5,47.4,47.77,854100
2007-06-27,47.58,47.72,47.16,47.4,967500
2007-06-28,47.54,47.73,47.25,47.4,877800
2007-06-29,47.51,48.24,47.51,47.9,694300
2007-07-02,48.2,48.73,47.84,48.06,487000
2007-07-03,48.26,48.5,47.92,48.15,181400
2007-07-05,48.15,48.42,47.58,47.93,335300
2007-07-06,48.0,48.17,47.8,47.97,239900
2007-07-09,48.23,49.49,48.05,49.06,616500
2007-07-10,48.9,48.92,47.65,47.71,558600
2007-07-11,47.8,48.33,47.17,47.93,476600
2007-07-12,48.28,49.48,48.28,49.13,444300
2007-07-13,48.98,49.75,48.43,49.6,437100
2007-07-16,49.5,49.93,48.74,48.95,566600
2007-07-17,48.81,49.9,48.81,49.49,554700
2007-07-18,49.27,49.43,48.41,49.09,346300
