Date,Open,High,Low,Close,Volume
2007-01-03,16.83,16.86,16.69,16.73,46200
2007-01-04,16.64,16.71,16.54,16.61,35000
2007-01-05,16.7,16.7,16.31,16.59,47600
2007-01-08,16.6,16.66,16.59,16.6,76500
2007-01-09,16.61,16.64,16.45,16.5,63700
2007-01-10,16.4,16.45,16.1,16.14,25200
2007-01-11,16.15,16.6,16.12,16.55,50900
2007-01-12,16.7,16.7,16.43,16.55,53100
2007-01-16,16.26,16.49,16.26,16.41,37000
2007-01-17,16.4,16.4,16.26,16.3,25900
2007-01-18,16.49,16.52,16.25,16.27,22800
2007-01-19,16.35,16.52,16.29,16.52,28800
2007-01-22,16.71,16.91,16.49,16.9,235200
2007-01-23,16.8,16.97,16.7,16.89,38000
2007-01-24,16.99,17.0,16.89,16.95,25800
2007-01-25,17.0,17.12,16.8,16.86,97400
2007-01-26,16.98,16.98,16.81,16.85,84400
2007-01-29,16.85,16.9,16.73,16.76,60600
2007-01-30,16.73,16.76,16.6,16.65,39600
2007-01-31,16.65,16.75,16.58,16.73,21400
2007-02-01,16.75,16.9,16.62,16.72,88700
2007-02-02,16.72,16.8,16.59,16.7,10200
2007-02-05,16.6,16.7,16.5,16.58,45600
2007-02-06,16.52,16.65,16.45,16.5,84500
2007-02-07,16.55,16.58,16.47,16.5,18300
2007-02-08,16.5,16.5,16.28,16.35,13900
2007-02-09,16.3,16.57,16.3,16.47,22200
2007-02-12,16.37,16.52,16.31,16.45,62600
2007-02-13,16.27,16.37,16.27,16.34,24500
2007-02-14,16.34,16.54,16.34,16.5,25900
2007-02-15,16.5,16.69,16.25,16.5,311100
2007-02-16,16.71,16.9,16.69,16.85,59400
2007-02-20,16.89,17.0,16.82,16.9,40100
2007-02-21,16.84,17.01,16.84,16.89,57500
2007-02-22,16.85,17.0,16.85,16.98,48900
2007-02-23,16.98,17.0,16.95,16.95,43300
2007-02-26,16.98,17.0,16.9,16.9,86800
2007-02-27,16.96,17.17,16.25,16.44,41300
2007-02-28,16.28,16.73,16.28,16.51,29800
2007-03-01,16.51,16.54,15.25,16.34,53200
2007-03-02,16.34,16.36,15.79,15.8,92500
2007-03-05,15.6,15.75,15.52,15.62,153300
