Date,Open,High,Low,Close,Volume
2015-06-15,34.0,34.95,33.5,33.5,938794
2015-06-16,33.75,34.0,32.75,32.94,4433203
2015-06-17,33.05,34.09,31.95,32.05,797414
2015-06-18,31.99,32.85,31.5,32.49,2010334
2015-06-19,32.75,32.75,31.78,31.89,1409298
2015-06-22,32.72,32.72,31.52,31.95,1956871
2015-06-23,32.39,32.39,31.79,32.25,1359225
2015-06-24,33.54,33.58,32.36,32.75,1874246
2015-06-25,32.75,33.75,32.75,32.9,1446333
2015-06-26,32.6,33.9,32.47,33.15,638836
2015-06-29,33.0,33.75,33.0,33.09,3321317
2015-06-30,33.65,33.75,31.75,31.94,6304813
2015-07-01,31.9,34.5,30.58,31.5,14882558
2015-07-02,31.59,32.4,30.88,31.03,11614740
2015-07-06,30.8,31.75,30.33,31.71,5942235
2015-07-07,31.7,32.02,31.25,31.94,6524038
2015-07-08,31.5,32.2,31.09,31.15,5131603
2015-07-09,31.31,31.55,30.01,30.06,6773330
2015-07-10,30.53,30.95,30.13,30.85,5027985
2015-07-13,30.68,31.08,30.12,30.23,5388606
2015-07-14,29.91,30.54,29.83,30.47,6237095
2015-07-15,30.25,31.05,30.15,30.97,6800247
2015-07-16,31.12,32.07,30.97,31.46,8446463
2015-07-17,31.46,32.99,31.2,32.69,5830160
2015-07-20,32.5,32.72,32.28,32.38,2204394
2015-07-21,32.28,32.52,31.84,32.21,2404233
2015-07-22,31.87,32.18,31.5,31.84,2855754
2015-07-23,32.15,32.25,30.74,31.29,4578608
2015-07-24,30.96,32.25,30.59,30.89,4566518
2015-07-27,30.8,31.11,30.1,30.6,5341117
2015-07-28,30.56,30.74,30.02,30.44,5111251
2015-07-29,30.81,32.38,30.6,30.92,8018099
2015-07-30,30.51,32.15,30.45,31.91,5621741
2015-07-31,32.16,33.0,31.91,32.83,6420942
2015-08-03,32.58,33.59,32.5,33.15,5183391
2015-08-04,36.86,39.75,36.14,37.1,41139403
2015-08-05,37.2,38.25,36.21,37.3,7187473
2015-08-06,37.38,38.44,37.36,37.39,5781146
2015-08-07,37.46,37.94,36.97,37.6,4558330
2015-08-10,37.96,40.24,37.87,39.79,7011580
2015-08-11,38.95,39.08,38.0,38.72,5567403
2015-08-12,38.13,38.56,37.9,38.11,4033828
2015-08-13,38.06,38.87,37.75,38.25,5792897
2015-08-14,38.25,39.52,38.11,39.44,4072398
2015-08-17,39.55,40.55,39.09,40.35,5576749
2015-08-18,40.06,40.9,39.8,39.92,4181756
2015-08-19,39.54,40.75,39.47,40.29,2645918
2015-08-20,40.12,40.41,39.65,39.67,4593716
2015-08-21,38.36,39.2,36.22,36.46,6876306
2015-08-24,30.92,35.0,29.83,34.34,7482234
2015-08-25,37.32,37.32,34.73,34.73,3015504
2015-08-26,35.53,36.0,34.75,35.45,3528313
2015-08-27,35.61,36.99,35.12,36.43,2796443
2015-08-28,36.24,37.96,34.5,35.25,4793048
2015-08-31,35.12,35.79,34.77,35.15,3621635
2015-09-01,34.0,35.33,34.0,34.68,2768619
2015-09-02,34.6,35.06,34.27,35.03,3138441
