Date,Open,High,Low,Close,Volume
2007-01-03,26.37,26.5,25.23,25.7,6256200
2007-01-04,25.5,25.63,24.98,25.1,8077600
2007-01-05,25.05,25.28,24.8,24.93,5587200
2007-01-08,25.7,25.99,25.18,25.78,6337200
2007-01-09,25.4,25.78,24.92,25.44,5630800
2007-01-10,24.3,25.4,24.3,25.08,5163600
2007-01-11,25.0,25.82,24.52,25.08,5082600
2007-01-12,25.13,25.91,25.12,25.83,5145000
2007-01-16,25.2,25.81,25.05,25.22,4021000
2007-01-17,25.18,25.68,25.1,25.61,3646400
2007-01-18,25.64,25.8,25.1,25.26,4225600
2007-01-19,25.35,25.84,25.1,25.72,4221600
2007-01-22,26.11,26.32,25.88,26.0,3967600
2007-01-23,26.26,27.04,26.2,26.93,4504400
2007-01-24,26.72,26.91,26.35,26.78,3711800
2007-01-25,27.22,27.23,25.94,26.13,2889800
2007-01-26,26.25,26.38,25.88,26.01,2980200
2007-01-29,25.96,26.16,25.41,25.57,5242400
2007-01-30,25.8,26.26,25.64,26.05,5872400
2007-01-31,26.01,26.34,25.7,26.25,4768200
2007-02-01,26.4,26.51,26.0,26.49,4850400
2007-02-02,26.86,26.86,26.0,26.62,5667600
2007-02-05,26.95,27.5,26.78,27.2,4614200
2007-02-06,27.48,27.48,26.84,27.19,3774200
2007-02-07,27.29,27.66,27.08,27.32,4811600
2007-02-08,27.27,28.3,27.04,27.91,4233200
2007-02-09,27.9,28.76,27.78,28.7,8380400
2007-02-12,28.18,28.54,27.66,27.88,4148444
2007-02-13,27.88,28.41,28.05,28.3,3764580
2007-02-14,28.38,28.75,28.18,28.58,4248668
2007-02-15,28.42,28.62,28.02,28.44,4430000
2007-02-16,28.44,28.76,28.44,28.67,2631200
2007-02-20,28.26,28.66,27.85,28.6,2533000
2007-02-21,28.6,29.22,28.36,29.18,3416400
2007-02-22,29.12,29.52,28.87,29.4,4242600
2007-02-23,29.4,29.58,29.16,29.36,2310000
