Date,Open,High,Low,Close,Volume
2007-01-03,31.8,31.8,29.98,30.23,5807000
2007-01-04,30.0,30.12,29.33,29.34,4030800
2007-01-05,29.2,29.76,29.15,29.19,4336000
2007-01-08,29.95,30.36,29.73,30.12,3595700
2007-01-09,29.77,30.31,29.49,30.24,3261900
2007-01-10,30.25,30.81,30.01,30.45,2360000
2007-01-11,30.4,31.42,30.36,31.09,2684900
2007-01-12,31.21,32.27,30.99,32.15,2466700
2007-01-16,32.15,32.29,31.41,31.59,2118900
2007-01-17,31.6,31.9,31.34,31.55,1833900
2007-01-18,31.65,32.13,31.29,31.41,2008400
2007-01-19,31.72,33.13,31.66,33.07,2523300
2007-01-22,33.48,33.5,32.3,32.8,1775800
2007-01-23,33.05,33.87,33.05,33.78,2723500
2007-01-24,33.4,34.06,32.96,34.03,2510100
2007-01-25,33.71,35.0,33.17,33.67,5537500
2007-01-26,34.1,34.43,33.69,34.15,3202000
2007-01-29,34.06,34.27,32.93,33.32,2119100
2007-01-30,33.6,34.5,33.32,34.32,3179200
2007-01-31,34.29,34.76,33.94,34.43,3018100
2007-02-01,34.6,35.32,34.52,35.29,2368200
2007-02-02,35.2,35.74,34.77,35.46,2655500
2007-02-05,36.2,36.77,35.83,35.95,4463700
2007-02-06,36.19,36.33,35.44,35.89,2019100
2007-02-07,36.5,36.5,34.8,35.11,2242100
2007-02-08,35.1,35.41,34.59,35.14,2000800
2007-02-09,35.25,35.41,34.72,34.92,1394600
2007-02-12,34.02,34.99,34.0,34.57,1854476
2007-02-13,34.58,35.29,34.58,35.25,1656554
2007-02-14,35.44,35.69,34.79,35.21,1666766
2007-02-15,35.05,35.43,34.83,34.84,1435300
2007-02-16,34.85,35.16,34.64,35.03,1674400
2007-02-20,35.04,35.04,34.59,34.85,1480600
2007-02-21,34.85,35.69,34.25,35.62,3200100
2007-02-22,35.76,38.06,35.75,37.8,8119000
2007-02-23,37.81,38.0,37.1,37.67,3822400
2007-02-26,37.59,37.92,37.1,37.26,2376394
2007-02-27,36.33,36.84,34.29,34.83,3795900
2007-02-28,34.84,35.9,33.96,35.68,4741300
2007-03-01,35.68,36.01,34.56,35.71,2472086
2007-03-02,35.64,35.79,34.76,34.98,3367100
2007-03-05,34.59,34.75,32.62,34.27,4094500
2007-03-06,34.6,35.2,34.29,35.1,3076400
2007-03-07,35.16,35.77,34.89,35.36,3988700
2007-03-08,35.77,36.82,35.6,36.24,2996000
