Date,Open,High,Low,Close,Volume
2007-01-03,53.15,53.2,51.62,51.94,1534000
2007-01-04,51.91,51.94,51.29,51.8,2028300
2007-01-05,52.0,52.14,51.47,51.83,1065000
2007-01-08,51.6,52.34,51.44,52.15,1290200
2007-01-09,52.3,52.31,51.42,51.89,1057200
2007-01-10,51.62,51.91,51.27,51.66,849400
2007-01-11,51.8,51.89,51.5,51.53,936600
2007-01-12,51.12,51.4,51.0,51.23,896400
2007-01-16,51.35,51.65,51.02,51.36,1022700
2007-01-17,51.39,52.06,51.15,52.01,1014600
2007-01-18,51.3,52.59,51.3,52.12,1305500
2007-01-19,52.12,52.23,51.25,51.79,772600
2007-01-22,51.4,51.72,51.13,51.21,845400
2007-01-23,51.31,51.96,50.75,51.35,837000
2007-01-24,51.36,51.92,51.0,51.58,812900
2007-01-25,51.72,52.4,51.09,52.25,1214500
2007-01-26,52.03,52.77,51.93,52.64,1183900
2007-01-29,52.64,52.8,52.07,52.34,919100
2007-01-30,52.44,52.5,52.1,52.42,1361200
2007-01-31,52.36,52.56,52.04,52.46,1459500
2007-02-01,52.7,53.2,52.45,53.15,855300
2007-02-02,53.15,53.94,53.14,53.87,1354400
2007-02-05,53.55,53.78,52.95,53.38,1095200
2007-02-06,53.15,53.75,52.99,53.24,1589100
2007-02-07,54.65,56.25,54.14,54.7,3566700
2007-02-08,54.5,54.75,53.9,54.44,1368600
2007-02-09,54.4,54.78,53.84,54.05,858900
2007-02-12,54.0,54.24,53.41,53.58,777655
2007-02-13,53.58,54.85,53.11,54.37,1431985
2007-02-14,54.55,54.83,54.02,54.19,1119702
2007-02-15,54.0,54.57,54.0,54.36,1287400
2007-02-16,54.36,55.2,54.36,54.69,2162000
2007-02-20,54.4,54.69,53.75,54.55,903000
2007-02-21,54.55,54.65,54.13,54.4,956900
2007-02-22,54.63,54.75,54.14,54.39,675300
2007-02-23,54.08,54.44,53.75,53.98,532100
2007-02-26,53.99,54.14,53.39,53.66,731002
2007-02-27,53.5,53.53,52.02,52.5,1817400
2007-02-28,52.5,53.51,52.2,52.93,1695200
2007-03-01,52.93,52.61,51.53,52.15,1427006
2007-03-02,52.09,52.58,51.73,51.79,881100
2007-03-05,51.62,52.25,51.3,51.4,909000
2007-03-06,51.4,52.0,51.35,51.58,1224200
2007-03-07,51.58,51.97,51.33,51.33,976300
2007-03-08,51.47,51.96,51.25,51.55,1026600
2007-03-09,51.8,51.87,51.22,51.75,1421200
2007-03-12,51.75,51.78,51.23,51.44,1120400
2007-03-13,51.26,51.85,50.75,51.03,1235100
2007-03-14,51.09,51.45,50.38,51.13,1267100
2007-03-15,51.13,51.37,50.81,51.24,608935
2007-03-16,51.15,51.38,50.52,50.64,1157300
2007-03-19,50.86,51.27,50.57,50.92,858800
2007-03-20,50.92,53.04,51.75,52.12,1892100
2007-03-21,52.11,52.66,51.81,52.45,831300
2007-03-22,52.39,52.75,52.21,52.75,780638
2007-03-23,52.67,52.77,52.17,52.41,851956
2007-03-26,52.3,52.38,51.88,52.26,709800
2007-03-27,52.18,52.36,51.8,52.16,1004600
2007-03-28,52.05,52.69,51.64,52.0,1260700
2007-03-29,52.12,52.39,51.92,52.31,1487724
2007-03-30,52.25,52.43,51.61,52.13,684700
2007-04-02,52.2,52.5,51.55,51.72,998500
2007-04-03,52.06,53.9,51.77,53.8,2355000
2007-04-04,53.7,54.06,53.42,53.76,1706900
2007-04-05,53.81,54.18,53.69,53.8,982300
2007-04-09,53.8,53.87,53.42,53.55,854500
2007-04-10,53.27,53.67,52.7,52.85,1448900
2007-04-11,52.89,53.79,52.56,53.65,1964000
2007-04-12,53.64,54.83,53.57,54.08,1269200
2007-04-13,54.03,54.15,53.47,53.79,675271
2007-04-16,54.18,54.2,53.58,53.69,1235801
2007-04-17,53.75,54.24,53.64,54.1,1311200
2007-04-18,54.03,54.5,53.75,54.3,1047000
2007-04-19,54.27,54.66,53.84,54.56,1183500
2007-04-20,54.69,55.0,54.58,54.8,1439300
2007-04-23,54.97,55.2,54.66,54.87,1333700
2007-04-24,54.86,55.65,54.81,55.36,1166300
2007-04-25,55.42,56.14,55.26,55.97,1310735
2007-04-26,56.0,56.03,55.32,55.83,1279596
2007-04-27,56.75,59.08,55.88,56.37,1362200
2007-04-30,56.4,56.61,55.54,55.54,948000
2007-05-01,55.58,56.34,55.44,56.22,874200
2007-05-02,55.91,56.25,55.48,55.85,979403
2007-05-03,55.99,56.0,55.16,55.56,1479460
2007-05-04,55.56,55.73,54.87,55.66,1224146
2007-05-07,55.47,56.0,54.65,55.68,1497372
2007-05-08,55.59,56.38,54.71,54.89,2007600
2007-05-09,54.89,55.81,54.59,55.69,1553600
2007-05-10,55.59,55.79,54.83,54.83,1222500
2007-05-11,54.94,56.43,54.74,56.43,1903474
2007-05-14,56.15,56.74,55.75,55.92,2194366
2007-05-15,55.85,56.64,55.52,56.12,1932000
2007-05-16,56.11,58.35,55.54,57.52,4210400
2007-05-17,57.44,57.47,56.82,56.87,1454200
2007-05-18,56.86,57.42,56.71,57.33,1605100
2007-05-21,54.08,59.13,54.08,57.06,1834211
2007-05-22,58.0,58.15,56.98,57.74,2419900
2007-05-23,57.74,57.8,54.64,56.05,3318701
2007-05-24,56.44,56.9,55.79,55.79,1199572
2007-05-25,55.64,56.68,55.25,56.49,1145300
2007-05-29,56.65,56.65,55.3,55.96,1679710
2007-05-30,55.5,56.76,55.1,56.68,1599100
2007-05-31,55.85,56.02,54.96,55.4,1855900
2007-06-01,55.4,56.77,55.17,56.05,1379124
2007-06-04,55.58,56.6,55.4,56.33,1381800
2007-06-05,56.02,57.21,55.97,56.96,1898600
2007-06-06,56.9,56.9,55.57,55.62,1291400
2007-06-07,55.48,56.13,55.19,55.4,1425700
2007-06-08,55.35,55.98,55.0,55.98,824900
2007-06-11,55.75,55.77,55.33,55.6,1169100
2007-06-12,55.5,55.75,54.74,54.74,1197000
2007-06-13,54.59,56.1,54.46,56.03,1708300
2007-06-14,54.49,55.68,54.2,54.85,1683294
2007-06-15,55.09,55.45,54.85,55.15,1675800
2007-06-18,55.19,55.92,55.13,55.23,1124800
2007-06-19,55.38,57.7,55.31,57.21,3872600
2007-06-20,57.21,58.42,56.38,57.4,3496296
2007-06-21,57.5,58.17,57.31,57.64,1924300
2007-06-22,57.5,58.0,57.3,57.55,1581900
2007-06-25,57.45,59.68,57.45,58.76,2475676
2007-06-26,58.76,58.95,58.06,58.21,2086025
2007-06-27,58.21,59.45,58.01,59.36,1779400
2007-06-28,59.45,60.0,59.16,59.3,1389000
2007-06-29,59.6,59.99,58.96,59.15,1537399
2007-07-02,59.35,59.65,58.86,59.27,1314300
2007-07-03,59.27,59.39,58.81,58.98,601800
2007-07-05,59.14,59.69,59.05,59.65,1845500
2007-07-06,59.65,59.78,59.35,59.67,1044409
2007-07-09,59.5,61.31,59.5,61.31,2121000
2007-07-10,63.76,63.76,59.55,59.55,1535600
2007-07-11,59.54,59.84,59.13,59.8,1297100
2007-07-12,59.99,60.45,59.8,60.45,1296100
2007-07-13,60.39,60.39,59.79,60.16,1162800
2007-07-16,59.66,60.38,59.66,60.25,1068500
2007-07-17,60.08,62.03,59.94,61.58,2613700
2007-07-18,61.58,61.77,60.49,61.62,1503900
2007-07-19,61.94,62.09,61.42,61.79,1128400
2007-07-20,61.79,62.25,61.2,61.38,1243600
2007-07-23,61.32,62.06,61.18,61.41,1633900
2007-07-24,61.0,62.39,60.95,61.09,1735762
2007-07-25,61.09,62.08,60.48,60.94,1676044
2007-07-26,60.28,60.37,57.08,57.85,2653051
2007-07-27,57.72,57.82,56.22,56.55,2231694
2007-07-30,56.48,56.86,55.6,56.05,1942098
2007-07-31,56.9,56.97,55.62,55.68,2112500
2007-08-01,55.5,56.53,54.37,56.4,2418918
2007-08-02,56.4,57.11,55.61,56.38,1693900
2007-08-03,56.38,56.67,53.95,53.95,1571944
2007-08-06,54.37,54.73,52.97,53.94,1813391
2007-08-07,53.7,54.61,53.0,53.63,2510700
2007-08-08,54.3,55.06,51.04,52.98,2684077
2007-08-09,52.41,52.48,49.87,49.92,3642300
2007-08-10,46.97,54.75,46.95,52.79,3474029
2007-08-13,53.2,58.65,53.13,57.67,3525300
2007-08-14,55.26,57.7,55.26,55.62,1962600
2007-08-15,54.1,55.68,53.91,53.98,1364600
2007-08-16,53.83,54.47,52.6,53.75,1681353
2007-08-17,55.35,55.73,53.7,54.81,1587968
2007-08-20,54.36,55.61,54.36,55.24,1053500
2007-08-21,55.18,55.75,53.89,54.64,1293100
2007-08-22,54.82,55.92,54.74,55.76,1249700
2007-08-23,56.28,58.32,56.13,57.73,2123400
2007-08-24,57.61,57.81,56.63,57.61,806000
