Date,Open,High,Low,Close,Volume
2007-01-03,28.5,28.83,28.46,28.64,2704700
2007-01-04,28.56,28.99,28.52,28.94,1580500
2007-01-05,28.94,29.11,28.8,28.99,1756400
2007-01-08,29.05,29.15,28.84,29.05,1766100
2007-01-09,28.98,29.35,28.9,29.31,1932100
2007-01-10,29.3,30.5,29.22,29.79,3857900
2007-01-11,29.75,30.35,29.59,29.6,1959500
2007-01-12,28.95,29.0,28.38,28.39,20800000
2007-01-16,28.4,28.85,28.02,28.49,6093400
2007-01-17,28.7,29.45,28.7,29.25,15138300
2007-01-18,30.07,30.89,29.5,30.77,8360600
2007-01-19,30.59,30.8,29.78,30.66,2113700
2007-01-22,29.9,30.72,29.78,30.15,3783500
2007-01-23,30.16,31.0,29.87,30.31,3504400
2007-01-24,30.4,30.82,30.29,30.69,2010000
2007-01-25,30.76,30.95,30.24,30.29,2362600
2007-01-26,30.47,30.62,30.13,30.4,1017200
2007-01-29,30.4,30.64,30.26,30.28,2539500
2007-01-30,30.29,30.29,29.92,30.21,3557900
2007-01-31,30.14,30.35,30.04,30.29,1623700
2007-02-01,30.35,30.35,29.25,29.29,6332900
2007-02-02,29.6,29.69,29.4,29.59,1659700
2007-02-05,29.41,29.7,29.25,29.31,978400
2007-02-06,29.29,30.0,29.25,29.88,1255200
2007-02-07,29.88,30.05,29.56,29.66,1022400
2007-02-08,29.67,29.89,29.04,29.15,2583400
2007-02-09,29.19,29.5,29.08,29.18,1471300
2007-02-12,29.17,29.2,28.73,28.76,1392793
2007-02-13,28.76,29.25,28.75,29.09,1354889
2007-02-14,29.15,29.21,28.76,28.89,599281
2007-02-15,28.89,29.59,28.81,29.54,1164500
2007-02-16,29.6,30.05,29.5,29.99,1346800
2007-02-20,29.89,30.01,29.8,29.99,1003900
2007-02-21,29.87,30.0,29.69,29.83,922600
2007-02-22,29.97,29.97,29.18,29.38,592700
2007-02-23,29.45,29.45,29.18,29.27,526800
2007-02-26,29.39,29.72,28.92,29.0,1161074
2007-02-27,28.95,29.13,28.29,28.54,3428000
2007-02-28,28.74,29.73,28.65,29.46,3092200
2007-03-01,29.46,29.7,28.83,29.49,1854072
2007-03-02,29.35,29.59,29.07,29.22,681100
2007-03-05,29.08,29.28,28.66,28.66,901500
2007-03-06,29.23,29.7,29.05,29.45,1710300
2007-03-07,29.32,29.95,29.23,29.78,1355000
