Date,Open,High,Low,Close,Volume
2007-01-03,83.1,83.73,81.68,82.28,361700
2007-01-04,81.68,82.68,81.5,82.56,266600
2007-01-05,82.43,82.89,81.91,82.69,172200
2007-01-08,82.69,82.93,82.15,82.79,145800
2007-01-09,82.9,84.1,82.55,84.0,450200
2007-01-10,83.78,84.17,83.0,83.27,323300
2007-01-11,83.49,84.73,83.32,84.62,340900
2007-01-12,84.46,85.07,84.23,85.0,203300
2007-01-16,85.1,85.37,84.16,84.4,219800
2007-01-17,84.1,84.79,83.84,84.4,287500
2007-01-18,84.4,85.09,84.08,84.37,323100
2007-01-19,84.15,84.8,83.61,84.8,368500
2007-01-22,84.96,85.3,83.96,84.43,171100
2007-01-23,84.43,85.2,84.43,84.75,180500
2007-01-24,84.5,85.13,84.21,84.57,213000
2007-01-25,84.65,84.65,83.73,83.97,189900
2007-01-26,84.15,84.15,82.98,83.55,241700
2007-01-29,83.55,83.67,83.19,83.5,218500
2007-01-30,83.65,84.02,83.26,83.8,172700
2007-01-31,83.8,85.62,83.56,85.0,241100
2007-02-01,84.25,86.03,84.25,86.03,293100
2007-02-02,86.0,86.0,82.75,84.53,592500
2007-02-05,84.54,85.38,84.54,85.3,309100
2007-02-06,85.3,85.73,84.94,85.7,192200
2007-02-07,85.7,87.97,85.6,87.66,555700
2007-02-08,87.7,88.51,87.57,88.14,225900
2007-02-09,88.25,88.56,87.07,87.6,276600
2007-02-12,87.8,88.3,87.75,88.26,205000
2007-02-13,88.27,88.84,88.25,88.7,177600
2007-02-14,88.7,89.68,88.7,89.4,214105
2007-02-15,89.3,89.71,89.1,89.62,279100
2007-02-16,89.63,89.84,89.4,89.77,309200
2007-02-20,89.8,90.89,89.4,90.81,189600
2007-02-21,90.82,90.9,89.86,90.32,176900
2007-02-22,90.55,91.02,90.01,90.98,239300
2007-02-23,91.0,91.0,90.18,90.82,163700
2007-02-26,90.95,90.95,90.03,90.52,260000
2007-02-27,89.52,89.89,88.27,88.4,331600
2007-02-28,88.3,88.55,87.51,88.28,362500
2007-03-01,88.29,89.91,86.75,89.36,472499
2007-03-02,89.37,89.35,88.25,88.45,244100
2007-03-05,87.75,88.52,86.25,86.29,457300
2007-03-06,86.05,87.98,86.05,87.46,321700
2007-03-07,87.47,87.7,86.93,87.26,265800
2007-03-08,87.6,88.51,87.59,88.18,272000
2007-03-09,88.43,88.83,88.39,88.55,163600
2007-03-12,88.54,89.46,88.1,89.46,328100
2007-03-13,89.25,89.26,87.69,87.78,284400
2007-03-14,87.78,88.38,87.21,88.38,170500
2007-03-15,88.28,89.34,88.28,89.16,204600
2007-03-16,89.17,89.35,88.58,88.87,317800
2007-03-19,89.12,90.62,89.12,90.59,351100
2007-03-20,90.5,91.07,90.25,90.85,361600
2007-03-21,90.85,91.4,90.07,91.2,481200
2007-03-22,91.2,91.54,90.73,91.51,241500
2007-03-23,91.68,91.69,90.74,91.0,191200
2007-03-26,90.85,90.93,90.25,90.7,261600
2007-03-27,90.7,91.21,89.72,90.35,245100
2007-03-28,90.0,90.16,89.26,89.69,296400
2007-03-29,90.05,90.58,89.7,90.43,261100
2007-03-30,90.68,91.72,90.43,91.2,535800
2007-04-02,91.3,91.8,91.07,91.56,288700
2007-04-03,91.76,92.4,91.46,91.71,205700
2007-04-04,91.72,91.52,90.5,91.2,236700
2007-04-05,91.15,91.16,90.25,90.63,195800
2007-04-09,90.64,90.7,90.11,90.56,160700
2007-04-10,90.62,90.9,90.43,90.45,239600
2007-04-11,90.5,90.5,89.56,89.69,310600
2007-04-12,89.69,89.84,88.4,89.73,370800
2007-04-13,89.8,90.76,89.8,90.55,173400
2007-04-16,90.95,91.27,90.57,90.85,233600
2007-04-17,90.85,91.22,90.48,90.5,207200
2007-04-18,90.4,90.53,89.97,90.23,242200
2007-04-19,90.72,91.1,89.8,90.52,244800
2007-04-20,90.52,91.37,90.0,90.3,469300
2007-04-23,90.2,90.97,89.82,90.7,262200
2007-04-24,90.85,91.48,90.52,91.24,226900
2007-04-25,91.49,91.75,90.46,91.06,143600
2007-04-26,91.06,91.04,90.63,90.89,163800
2007-04-27,90.75,90.94,90.16,90.82,228600
2007-04-30,90.97,91.21,90.21,90.3,232800
2007-05-01,90.38,91.3,90.38,90.83,218400
2007-05-02,90.73,91.37,90.45,91.06,396100
2007-05-03,90.9,91.22,90.19,90.88,225300
2007-05-04,90.88,96.0,91.0,95.1,871600
2007-05-07,95.0,95.89,94.55,94.9,275100
2007-05-08,94.9,95.42,93.83,95.0,173600
2007-05-09,94.5,95.4,94.31,95.21,221900
2007-05-10,94.85,95.59,94.56,95.2,193700
2007-05-11,95.3,95.32,94.9,95.05,181900
2007-05-14,94.55,95.23,94.3,94.96,286100
2007-05-15,94.7,95.26,94.43,94.66,220000
2007-05-16,94.91,95.08,94.6,95.04,209600
2007-05-17,94.79,95.41,94.51,94.71,258400
2007-05-18,94.84,95.61,94.76,95.28,321400
2007-05-21,95.04,95.99,94.65,94.91,389100
2007-05-22,94.77,95.99,94.77,95.87,416100
2007-05-23,95.87,98.02,95.81,97.15,325800
2007-05-24,97.31,98.06,96.99,97.16,381100
2007-05-25,97.0,98.26,96.63,98.02,254600
2007-05-29,98.02,99.29,97.74,99.29,328500
2007-05-30,99.3,100.07,98.46,100.07,554900
2007-05-31,100.07,100.31,99.66,100.13,439700
2007-06-01,100.0,100.88,99.76,100.88,304000
2007-06-04,100.89,102.04,100.15,102.0,302700
2007-06-05,101.75,102.44,101.48,102.15,467200
2007-06-06,102.16,102.16,101.0,101.83,327700
2007-06-07,101.3,102.76,101.3,102.0,456300
2007-06-08,102.01,102.54,101.5,102.31,229200
2007-06-11,102.1,103.47,101.29,103.39,297800
2007-06-12,102.6,103.16,100.82,101.01,699300
2007-06-13,101.1,101.66,99.18,100.4,620700
2007-06-14,100.41,101.57,99.85,100.79,345500
2007-06-15,101.13,102.03,100.17,100.17,389000
2007-06-18,99.49,101.51,99.32,101.34,267200
2007-06-19,101.34,102.5,100.88,102.09,278800
2007-06-20,102.09,102.12,98.77,101.28,434100
2007-06-21,101.29,102.33,100.5,102.0,304400
2007-06-22,101.59,101.59,99.71,99.71,511700
2007-06-25,100.02,101.25,99.56,99.71,272700
2007-06-26,99.71,102.94,99.91,102.43,691100
2007-06-27,102.44,104.62,101.45,104.62,488800
2007-06-28,104.5,104.5,103.34,103.64,279900
2007-06-29,103.59,103.85,102.28,102.98,264300
2007-07-02,102.68,104.58,102.68,104.58,224500
2007-07-03,104.7,105.37,104.4,105.07,113800
2007-07-05,104.9,104.99,104.16,104.59,210800
2007-07-06,104.5,105.11,103.86,104.93,260300
2007-07-09,104.93,105.2,103.51,104.56,263700
2007-07-10,104.44,104.72,103.12,103.24,241900
2007-07-11,103.05,104.22,102.57,104.14,235700
2007-07-12,104.14,105.7,104.14,105.15,353100
2007-07-13,105.2,105.78,104.88,105.78,221800
2007-07-16,105.69,107.03,105.11,106.63,430500
2007-07-17,106.59,106.78,105.98,106.5,323700
2007-07-18,106.5,106.43,104.65,105.13,348400
2007-07-19,105.13,106.5,105.3,106.09,283100
2007-07-20,105.91,106.0,104.36,104.79,371600
2007-07-23,105.03,106.71,105.03,105.36,294300
2007-07-24,108.45,108.45,102.12,102.67,428200
