Date,Open,High,Low,Close,Volume
2007-01-03,50.52,50.7,48.29,48.45,26456400
2007-01-04,47.8,48.22,47.03,47.56,7752000
2007-01-05,49.74,49.74,47.45,48.36,5114100
2007-01-08,48.41,49.2,47.11,47.53,4121800
2007-01-09,46.49,46.97,45.81,46.61,5536100
2007-01-10,45.0,47.28,45.0,46.93,5408800
2007-01-11,46.87,48.81,46.28,46.5,5205800
2007-01-12,46.71,48.41,46.69,48.17,3780600
2007-01-16,47.72,47.99,46.79,47.22,2602400
2007-01-17,47.23,48.49,47.14,48.09,4592200
2007-01-18,47.19,49.0,47.19,47.64,3667800
2007-01-19,48.09,49.45,47.78,49.3,3552600
2007-01-22,49.84,49.84,48.3,48.66,2549000
2007-01-23,48.92,50.26,48.78,49.9,3728200
2007-01-24,49.55,49.79,48.65,49.61,3066900
2007-01-25,49.42,49.75,48.29,48.45,3454600
2007-01-26,49.05,49.84,48.71,49.38,2760800
2007-01-29,49.66,50.47,48.93,49.12,2136800
2007-01-30,49.53,50.8,49.41,50.55,2479000
2007-01-31,50.45,51.19,49.89,50.87,3655200
2007-02-01,51.04,51.04,49.73,50.27,3905900
2007-02-02,50.37,51.79,49.77,51.45,3924800
2007-02-05,52.0,52.0,50.96,51.1,2508600
2007-02-06,51.66,51.7,50.07,50.75,2430400
2007-02-07,50.85,51.73,50.07,50.26,2699000
2007-02-08,50.35,50.8,49.7,50.8,2547300
2007-02-09,50.76,51.05,49.92,50.26,1844100
2007-02-12,49.76,50.01,48.88,48.93,2456700
2007-02-13,49.08,49.88,49.03,49.81,2012200
2007-02-14,50.25,50.92,49.68,50.33,2209700
2007-02-15,49.81,50.1,49.27,49.63,2311200
2007-02-16,49.63,50.01,49.31,49.54,1916100
2007-02-20,49.19,49.82,48.52,49.6,2200300
2007-02-21,49.38,50.17,48.82,49.83,3560400
2007-02-22,50.55,51.2,50.0,50.5,3790100
2007-02-23,50.91,52.0,50.73,51.16,2938800
2007-02-26,52.85,52.93,51.61,52.7,3422500
2007-02-27,51.3,52.52,49.52,50.46,4731700
2007-02-28,50.45,51.19,49.04,50.05,4503200
2007-03-01,49.29,50.88,47.93,50.09,4776500
2007-03-02,49.89,50.07,48.49,49.24,3584700
2007-03-05,48.74,50.14,48.47,49.32,4015900
2007-03-06,50.72,50.77,49.59,50.46,2877800
2007-03-07,50.64,52.5,50.25,51.74,3526900
2007-03-08,52.06,52.44,51.15,51.72,2876700
2007-03-09,51.75,52.37,51.01,51.57,3606500
2007-03-12,51.3,51.43,50.8,51.2,1664200
2007-03-13,51.28,52.09,50.25,50.31,2319400
2007-03-14,50.4,51.3,50.05,50.94,3159100
2007-03-15,51.07,51.4,50.52,50.76,1763100
2007-03-16,51.99,51.99,50.91,51.22,3362400
2007-03-19,52.24,53.76,52.1,53.19,4350000
2007-03-20,53.0,53.81,52.4,53.1,3995200
2007-03-21,53.55,55.4,53.25,54.64,3658400
2007-03-22,55.15,55.8,54.85,55.49,2885300
2007-03-23,55.49,56.19,55.37,55.79,2406700
2007-03-26,56.5,56.59,55.31,56.34,2398800
2007-03-27,55.81,56.29,55.56,56.02,2113000
2007-03-28,56.27,56.27,54.38,54.75,4446000
2007-03-29,55.2,55.6,54.77,55.35,3890800
2007-03-30,54.58,55.34,54.24,54.4,2119700
2007-04-02,54.7,55.74,54.27,55.47,2234800
2007-04-03,54.9,55.59,54.5,55.19,1916900
2007-04-04,54.94,55.67,54.26,55.3,3021600
2007-04-05,55.35,55.83,54.94,55.35,1677100
2007-04-09,55.5,55.93,54.55,54.72,3139700
2007-04-10,54.7,55.37,54.64,55.2,3003600
2007-04-11,53.48,55.7,53.48,54.71,2650500
2007-04-12,55.05,55.98,54.59,55.94,2481900
2007-04-13,55.55,56.0,55.33,55.73,2333200
2007-04-16,55.58,55.75,54.55,55.51,3106400
2007-04-17,55.9,56.39,54.9,55.17,3939300
2007-04-18,54.59,55.12,54.18,54.24,3334900
2007-04-19,53.9,54.0,53.47,53.57,3218200
2007-04-20,54.48,54.75,53.12,53.67,3441900
2007-04-23,53.95,54.84,53.75,54.06,2280500
2007-04-24,54.51,55.06,53.78,54.52,3934500
2007-04-25,54.77,56.16,54.46,55.68,3102900
2007-04-26,55.25,56.05,54.63,55.75,3049800
2007-04-27,55.55,57.37,55.38,56.84,4160400
2007-04-30,56.92,58.12,56.26,56.38,5373600
