Date,Open,High,Low,Close,Volume
2011-12-19,5.0,5.0,4.79,4.82,13092029
2011-12-20,4.87,5.0,4.81,4.96,16418141
2011-12-21,4.97,5.13,4.93,5.11,11085334
2011-12-22,5.09,5.2,5.07,5.1,9333969
2011-12-23,5.09,5.2,5.03,5.12,8058229
2011-12-27,5.1,5.1,4.96,4.99,9389231
2011-12-28,4.96,4.98,4.8,4.81,12245323
2011-12-29,4.81,5.02,4.81,5.01,21983947
2011-12-30,5.08,5.43,5.02,5.15,25339250
2012-01-03,5.34,5.37,5.12,5.33,14628634
2012-01-04,5.35,5.35,5.13,5.15,12486604
2012-01-05,5.14,5.15,5.0,5.02,16343750
2012-01-06,5.05,5.2,5.02,5.18,8584247
2012-01-09,5.13,5.14,5.03,5.04,15872860
2012-01-10,5.1,5.11,5.02,5.05,16377148
2012-01-11,5.05,5.07,4.97,5.04,21784545
2012-01-12,5.08,5.09,5.0,5.03,19203089
2012-01-13,5.04,5.12,4.98,5.1,17064324
2012-01-17,5.15,5.18,5.07,5.09,11625424
2012-01-18,5.11,5.13,4.93,4.95,23464170
2012-01-19,4.95,4.99,4.81,4.87,25239185
2012-01-20,4.95,4.95,4.85,4.87,13641145
2012-01-23,4.89,4.9,4.83,4.85,14830473
2012-01-24,4.81,4.83,4.72,4.75,14939329
2012-01-25,4.76,4.8,4.7,4.74,13368666
2012-01-26,4.78,4.78,4.45,4.47,42054467
2012-01-27,4.39,4.42,3.81,4.31,55826974
2012-01-30,4.27,4.29,4.18,4.23,22108914
2012-01-31,4.23,4.35,4.2,4.28,31091870
2012-02-01,4.28,4.29,4.2,4.24,22893410
2012-02-02,4.25,4.38,4.18,4.36,20064531
2012-02-03,4.36,4.53,4.33,4.51,28510286
2012-02-06,4.51,4.53,4.31,4.34,21587197
2012-02-07,4.33,4.39,4.26,4.3,15617947
2012-02-08,4.3,4.33,4.24,4.26,16907829
2012-02-09,4.28,4.28,4.13,4.14,20070190
2012-02-10,4.11,4.12,3.98,4.04,41870361
2012-02-13,4.08,4.21,4.07,4.14,25197231
2012-02-14,4.13,4.18,4.06,4.06,33105549
2012-02-15,4.11,4.35,4.08,4.31,39953766
2012-02-16,4.33,4.63,4.22,4.46,39244300
