Date,Open,High,Low,Close,Volume
2007-01-03,3.69,3.79,3.64,3.71,1688648
2007-01-04,3.71,3.75,3.68,3.71,958028
2007-01-05,3.71,3.79,3.71,3.73,931136
2007-01-08,3.85,3.85,3.73,3.75,701824
2007-01-09,3.74,3.78,3.69,3.75,782636
2007-01-10,3.74,3.76,3.66,3.72,732186
2007-01-11,3.73,3.8,3.7,3.75,752612
2007-01-12,3.74,3.76,3.7,3.75,504306
2007-01-16,3.76,3.85,3.69,3.79,628708
2007-01-17,3.79,4.13,3.79,4.02,1920038
2007-01-18,4.05,4.06,3.92,3.98,541796
2007-01-19,3.97,4.1,3.97,4.04,561478
2007-01-22,4.02,4.22,4.02,4.19,952830
2007-01-23,4.2,4.32,4.17,4.22,1774035
2007-01-24,4.22,4.26,4.14,4.2,761414
2007-01-25,4.22,4.24,4.15,4.2,370926
2007-01-26,4.22,4.22,4.13,4.19,457650
2007-01-29,4.18,4.26,4.16,4.24,958108
2007-01-30,4.23,4.37,4.23,4.35,846922
2007-01-31,4.35,4.42,4.25,4.38,1042686
2007-02-01,4.57,4.86,4.55,4.81,6919682
2007-02-02,4.81,4.81,4.73,4.76,3197637
2007-02-05,4.78,4.78,4.62,4.67,2460578
2007-02-06,4.69,4.73,4.62,4.73,812295
2007-02-07,4.72,4.72,4.62,4.69,1151374
2007-02-08,4.7,4.8,4.65,4.79,2137536
2007-02-09,4.8,4.8,4.55,4.6,1072467
2007-02-12,4.62,4.62,4.5,4.53,977427
2007-02-13,4.55,4.65,4.53,4.64,1065690
2007-02-14,4.66,4.66,4.61,4.61,799686
2007-02-15,4.61,4.61,4.55,4.59,1097726
2007-02-16,4.59,4.63,4.54,4.58,536504
2007-02-20,4.59,4.63,4.57,4.63,536085
2007-02-21,4.59,4.62,4.57,4.57,356548
2007-02-22,4.59,4.66,4.58,4.64,476698
2007-02-23,4.62,4.66,4.48,4.5,526284
2007-02-26,4.53,4.56,4.48,4.5,550922
2007-02-27,4.47,4.47,4.08,4.11,2314872
2007-02-28,4.11,4.28,4.11,4.15,753435
2007-03-01,4.28,4.28,4.04,4.15,1231402
2007-03-02,4.07,4.21,4.07,4.15,968868
2007-03-05,4.03,4.15,4.03,4.07,1092434
2007-03-06,4.12,4.34,4.05,4.24,977778
2007-03-07,4.25,4.28,4.15,4.23,708426
2007-03-08,4.26,4.32,4.26,4.31,935482
2007-03-09,4.34,4.37,4.23,4.32,540000
2007-03-12,4.33,4.38,4.27,4.33,811012
2007-03-13,4.3,4.3,4.16,4.16,592070
2007-03-14,4.16,4.22,4.11,4.18,829224
2007-03-15,4.2,4.27,4.2,4.23,393336
2007-03-16,4.23,4.27,4.21,4.21,1033425
2007-03-19,4.24,4.3,4.18,4.19,334840
2007-03-20,4.2,4.3,4.16,4.25,589923
2007-03-21,4.24,4.5,4.23,4.45,802994
2007-03-22,4.46,4.48,4.36,4.43,599832
2007-03-23,4.42,4.52,4.41,4.48,581256
2007-03-26,4.48,4.61,4.48,4.6,624078
2007-03-27,4.59,4.65,4.57,4.63,606542
2007-03-28,4.63,4.74,4.63,4.66,777789
2007-03-29,4.67,4.74,4.64,4.67,442760
2007-03-30,4.68,4.8,4.62,4.67,759024
2007-04-02,4.69,4.71,4.65,4.71,479088
2007-04-03,4.68,4.73,4.65,4.67,716688
2007-04-04,4.65,4.68,4.58,4.67,598347
2007-04-05,4.65,4.72,4.64,4.65,338944
2007-04-09,4.67,4.67,4.58,4.59,294138
2007-04-10,4.59,4.69,4.59,4.63,414315
2007-04-11,4.63,4.66,4.52,4.63,535734
2007-04-12,4.64,4.72,4.64,4.69,626116
2007-04-13,4.68,4.69,4.6,4.64,213678
2007-04-16,4.67,4.89,4.67,4.89,826659
2007-04-17,4.89,4.89,4.75,4.78,542160
2007-04-18,4.74,4.81,4.7,4.76,430353
2007-04-19,4.73,4.76,4.61,4.72,485636
2007-04-20,4.79,4.87,4.74,4.8,555322
2007-04-23,4.78,4.78,4.64,4.64,481558
2007-04-24,4.64,4.7,4.58,4.62,310784
2007-04-25,4.61,4.62,4.56,4.59,289980
2007-04-26,4.59,4.73,4.49,4.71,891135
2007-04-27,4.72,4.75,4.59,4.6,425358
2007-04-30,4.6,4.73,4.52,4.53,563746
2007-05-01,4.53,4.65,4.5,4.62,835016
2007-05-02,4.67,4.93,4.67,4.88,1144138
2007-05-03,5.02,5.48,5.0,5.32,4324820
2007-05-04,5.34,5.34,5.1,5.24,1153062
2007-05-07,5.27,5.48,5.26,5.45,998784
2007-05-08,5.45,5.45,5.23,5.28,977738
2007-05-09,5.28,5.47,5.26,5.42,1216566
