Date,Open,High,Low,Close,Volume
2007-01-03,13.94,14.02,13.87,13.99,2993329
2007-01-04,13.99,14.05,13.93,14.05,2934676
2007-01-05,14.0,14.02,13.92,13.96,4101726
2007-01-08,13.92,14.05,13.87,13.98,4070820
2007-01-09,13.95,14.08,13.91,13.96,2754072
2007-01-10,13.92,14.09,13.9,14.04,2563960
2007-01-11,14.0,14.15,13.99,14.11,2562913
2007-01-12,14.06,14.25,14.05,14.15,3642820
2007-01-16,14.15,14.2,14.0,14.13,1948233
2007-01-17,14.15,14.17,13.95,13.99,2986452
2007-01-18,13.97,14.05,13.93,13.97,3097819
2007-01-19,14.04,14.07,13.93,13.99,1891804
2007-01-22,14.03,14.05,13.97,14.0,1024070
2007-01-23,13.97,14.15,13.96,14.11,3026532
2007-01-24,13.88,14.02,13.83,13.98,12842331
2007-01-25,13.95,14.0,13.84,13.86,11635149
2007-01-26,13.86,13.86,13.69,13.78,3611993
2007-01-29,13.72,13.78,13.62,13.66,4196016
2007-01-30,13.65,13.73,13.6,13.69,4317296
2007-01-31,13.67,13.84,13.59,13.76,5016785
2007-02-01,13.7,13.78,13.55,13.6,6019949
2007-02-02,13.59,13.67,13.55,13.64,4267009
2007-02-05,13.67,13.68,13.57,13.61,3425414
2007-02-06,14.0,14.0,13.78,13.85,42247116
2007-02-07,13.85,13.85,13.73,13.79,14681223
2007-02-08,13.77,13.79,13.66,13.7,8578476
2007-02-09,13.68,13.81,13.65,13.72,6471795
2007-02-12,13.74,13.8,13.68,13.74,5084442
2007-02-13,13.73,13.76,13.66,13.69,4897269
2007-02-14,13.71,13.94,13.66,13.9,90965929
2007-02-15,13.81,13.81,13.64,13.67,13383896
2007-02-16,13.68,13.75,13.62,13.72,6085368
2007-02-20,13.75,13.91,13.7,13.86,4132888
2007-02-21,13.82,13.88,13.78,13.86,3624331
2007-02-22,13.85,13.92,13.85,13.9,4035188
2007-02-23,13.9,13.9,13.76,13.79,5794434
2007-02-26,13.88,13.88,13.69,13.71,4392933
2007-02-27,13.68,13.73,13.34,13.39,5469681
2007-02-28,13.48,13.54,13.18,13.4,6364291
2007-03-01,13.27,13.5,13.11,13.43,9928162
2007-03-02,13.43,13.53,13.35,13.35,4966950
2007-03-05,13.25,13.37,13.16,13.21,4840547
2007-03-06,13.21,13.33,13.21,13.26,6540614
2007-03-07,13.23,13.43,13.22,13.35,5599829
2007-03-08,13.39,13.54,13.36,13.39,4575230
2007-03-09,13.49,13.52,13.38,13.42,3121270
2007-03-12,13.37,13.48,13.37,13.44,4051540
2007-03-13,13.32,13.42,13.15,13.16,5569582
2007-03-14,13.26,13.41,13.15,13.39,5771048
2007-03-15,13.38,13.49,13.31,13.47,4907482
2007-03-16,13.51,13.55,13.35,13.51,5838581
2007-03-19,13.53,13.61,13.43,13.51,3492259
2007-03-20,13.49,13.69,13.47,13.63,2906519
2007-03-21,13.63,13.92,13.54,13.91,3495356
2007-03-22,13.88,13.94,13.72,13.81,6638912
2007-03-23,13.84,13.91,13.76,13.89,4834343
2007-03-26,13.85,13.91,13.7,13.79,4075523
2007-03-27,13.77,13.8,13.67,13.69,4174319
2007-03-28,13.7,13.71,13.51,13.55,5976447
2007-03-29,13.58,13.68,13.55,13.63,3444533
2007-03-30,13.6,13.7,13.56,13.68,4228589
2007-04-02,13.71,13.71,13.51,13.59,6040392
2007-04-03,13.63,13.83,13.56,13.79,4485835
2007-04-04,13.8,13.81,13.62,13.71,3318960
2007-04-05,13.67,13.72,13.58,13.65,2491932
2007-04-09,13.66,13.76,13.59,13.66,1500209
2007-04-10,13.68,13.7,13.56,13.57,3398764
2007-04-11,13.62,13.63,13.47,13.52,3492883
2007-04-12,13.45,13.49,13.26,13.35,5070601
2007-04-13,13.35,13.42,13.29,13.42,4342615
2007-04-16,13.4,13.7,13.4,13.66,5160116
2007-04-17,13.66,13.73,13.61,13.64,3100432
2007-04-18,13.63,13.75,13.63,13.75,3249744
2007-04-19,13.7,13.75,13.62,13.66,3707224
2007-04-20,13.61,13.74,13.51,13.55,6851310
2007-04-23,13.56,13.62,13.41,13.44,5654884
2007-04-24,13.48,13.53,13.3,13.38,4463247
2007-04-25,13.47,13.66,13.19,13.45,6343738
2007-04-26,13.41,13.48,13.26,13.33,4544054
2007-04-27,13.33,13.46,13.32,13.35,5780450
2007-04-30,13.46,13.46,13.3,13.32,6042177
2007-05-01,13.33,13.39,13.2,13.3,6673587
