Date,Open,High,Low,Close,Volume
2007-01-03,62.41,62.99,61.8,62.3,1451500
2007-01-04,61.88,63.18,60.93,61.74,1584600
2007-01-05,61.7,61.71,60.71,60.9,2259300
2007-01-08,60.9,62.09,60.29,61.43,2216400
2007-01-09,61.6,61.91,60.49,61.77,2149900
2007-01-10,61.55,62.41,61.17,61.75,1511800
2007-01-11,62.1,63.41,61.85,62.37,2749000
2007-01-12,62.5,64.05,62.4,63.09,2113400
2007-01-16,63.75,64.45,63.29,64.2,1841000
2007-01-17,64.2,64.2,63.5,63.62,1363900
2007-01-18,63.65,63.94,62.49,62.82,1126900
2007-01-19,63.09,63.85,63.02,63.69,1816100
2007-01-22,64.19,64.19,62.29,62.54,2084200
2007-01-23,62.55,63.26,62.4,62.68,1712900
2007-01-24,62.99,63.54,62.44,62.61,2128800
2007-01-25,63.1,63.2,61.23,61.48,2837100
2007-01-26,61.48,61.63,60.2,60.86,3553500
2007-01-29,60.69,61.05,60.23,60.25,2059500
2007-01-30,60.4,60.95,59.63,60.43,2622400
2007-01-31,60.91,62.65,60.75,62.58,2929500
2007-02-01,63.08,65.25,63.0,65.07,4075400
2007-02-02,65.57,66.58,65.35,66.18,2206900
2007-02-05,66.19,67.14,66.19,66.73,1739300
2007-02-06,66.25,67.34,66.02,67.16,2418600
2007-02-07,66.99,67.93,66.43,67.86,2186200
2007-02-08,67.86,69.21,67.59,68.97,3332900
2007-02-09,69.01,69.64,66.77,66.96,2392500
2007-02-12,66.75,67.5,66.29,66.53,1608435
2007-02-13,66.73,67.92,66.58,67.78,1720598
2007-02-14,67.71,69.5,67.48,69.02,2457031
2007-02-15,69.02,69.65,68.22,68.93,2726200
2007-02-16,68.7,68.96,68.5,68.83,795100
2007-02-20,68.23,69.32,67.56,68.76,2067000
2007-02-21,68.59,69.15,68.24,69.0,1174500
2007-02-22,68.98,69.0,67.82,68.29,1829400
2007-02-23,68.1,68.49,67.52,67.8,746600
2007-02-26,68.24,68.37,66.93,67.32,808577
2007-02-27,66.59,67.26,64.7,65.08,2092700
2007-02-28,64.85,66.08,64.21,65.75,1931200
2007-03-01,65.8,65.91,63.53,65.34,1654170
2007-03-02,64.47,65.24,63.95,64.49,1812800
2007-03-05,63.89,64.51,62.77,63.17,2243500
2007-03-06,63.17,65.17,62.55,64.71,2219900
2007-03-07,64.72,65.0,64.12,64.66,1594500
2007-03-08,64.95,65.33,64.49,64.99,2016300
2007-03-09,66.56,66.56,65.1,65.67,1289500
2007-03-12,65.49,65.89,64.35,64.51,1552400
2007-03-13,64.0,64.45,63.11,63.17,2010600
2007-03-14,63.37,63.45,61.66,63.29,1650050
2007-03-15,63.3,63.95,63.06,63.82,1150900
2007-03-16,63.81,63.99,62.49,62.99,2214500
2007-03-19,63.53,64.7,63.53,64.15,1635200
2007-03-20,64.15,65.22,63.93,65.13,1360762
2007-03-21,65.08,66.54,64.86,66.54,1086200
2007-03-22,66.7,67.1,65.67,65.74,1928460
