Date,Open,High,Low,Close,Volume
2007-01-03,95.63,98.15,95.63,97.7,2138300
2007-01-04,97.4,98.1,95.99,97.63,1648500
2007-01-05,97.5,98.12,96.66,97.19,1040800
2007-01-08,96.79,98.94,96.27,98.85,1371400
2007-01-09,98.99,101.11,98.99,100.23,1955000
2007-01-10,101.14,102.92,100.32,102.31,2189800
2007-01-11,102.81,104.6,102.66,103.39,1469600
2007-01-12,103.64,104.63,102.57,103.2,1380700
2007-01-16,103.45,104.07,102.26,102.44,870200
2007-01-17,102.75,104.34,102.42,103.29,940500
2007-01-18,103.48,103.49,101.85,102.1,857100
2007-01-19,102.05,103.12,101.3,102.01,852900
2007-01-22,102.01,102.44,101.15,101.96,735100
2007-01-23,101.97,102.32,100.75,101.65,887100
2007-01-24,101.69,103.66,101.39,103.63,1218000
2007-01-25,107.55,109.68,103.75,105.44,5272400
2007-01-26,105.8,106.18,102.43,103.76,1553300
2007-01-29,105.0,106.28,103.53,103.89,1446100
2007-01-30,103.8,105.28,103.58,104.94,1239800
2007-01-31,104.7,105.0,102.53,104.85,1611100
2007-02-01,105.0,105.2,102.87,104.09,1456300
2007-02-02,104.34,105.24,103.85,104.89,950700
2007-02-05,105.0,105.12,103.71,104.13,836700
2007-02-06,104.55,104.98,104.12,104.59,1030900
2007-02-07,104.56,105.21,104.56,104.9,748900
2007-02-08,104.91,104.91,103.5,104.0,763200
2007-02-09,104.0,104.63,102.04,102.63,1126000
2007-02-12,102.63,103.35,101.45,101.72,843553
2007-02-13,101.85,102.95,101.49,101.75,670243
2007-02-14,101.8,105.08,101.65,104.02,1269723
2007-02-15,103.97,104.99,103.97,104.22,592000
2007-02-16,104.14,104.42,102.7,104.18,768500
2007-02-20,104.58,105.93,103.7,105.46,1254800
2007-02-21,104.98,106.62,104.51,106.4,1459400
2007-02-22,106.36,110.17,106.36,109.65,2811800
2007-02-23,109.66,109.51,108.02,108.8,1466600
2007-02-26,109.2,109.84,106.38,107.87,1438648
2007-02-27,106.0,106.3,100.55,101.83,2234100
2007-02-28,102.06,104.24,101.3,102.74,1341700
2007-03-01,102.75,103.1,98.6,101.88,1582752
2007-03-02,101.89,103.12,99.43,99.43,1349300
2007-03-05,99.3,100.0,96.9,97.06,1437900
2007-03-06,96.85,99.52,97.7,99.27,1185900
2007-03-07,99.28,100.43,98.6,98.77,780600
2007-03-08,99.85,101.38,99.63,100.08,887100
2007-03-09,100.96,101.68,99.14,99.48,770800
2007-03-12,99.49,100.87,98.74,100.69,769800
2007-03-13,99.9,100.12,95.09,95.71,1775000
2007-03-14,96.4,96.95,94.51,96.95,1903700
2007-03-15,96.96,97.94,96.38,97.1,688200
2007-03-16,96.6,96.61,94.02,94.56,2087900
2007-03-19,95.0,95.27,93.16,94.46,1490400
2007-03-20,94.47,95.21,93.83,93.99,963898
2007-03-21,94.59,97.5,94.59,97.03,1430900
2007-03-22,97.04,97.26,95.25,95.41,1236825
2007-03-23,95.18,96.63,95.18,96.43,1215280
2007-03-26,96.43,97.0,95.0,96.05,971900
2007-03-27,96.06,96.47,95.46,95.53,811753
2007-03-28,95.54,95.91,94.36,94.85,880400
2007-03-29,95.65,96.49,93.85,94.78,681620
2007-03-30,94.78,95.82,93.61,94.21,747800
2007-04-02,94.71,94.71,93.4,94.2,822000
2007-04-03,94.4,96.27,94.2,96.1,808807
2007-04-04,96.1,96.77,95.7,96.37,509347
2007-04-05,95.89,97.07,95.51,96.96,691100
2007-04-09,97.01,97.01,95.94,96.32,438488
2007-04-10,96.1,96.42,95.46,95.76,523900
2007-04-11,95.75,95.75,93.72,94.15,1294600
2007-04-12,94.15,94.28,92.82,94.19,1074600
2007-04-13,94.02,95.5,93.72,95.49,893832
2007-04-16,95.7,98.54,95.57,98.32,1235800
2007-04-17,98.33,99.67,98.17,98.85,785200
2007-04-18,98.6,100.22,98.4,99.26,759973
2007-04-19,98.7,99.07,97.66,98.75,759400
2007-04-20,99.8,101.11,99.0,99.9,1508600
2007-04-23,100.01,100.67,99.04,99.12,525458
2007-04-24,97.82,99.95,96.73,97.3,1358033
2007-04-25,97.95,101.24,97.35,100.7,1835700
2007-04-26,100.71,100.73,99.11,100.03,749800
2007-04-27,100.04,100.44,99.05,99.49,551100
2007-04-30,99.31,100.8,98.41,99.19,757800
2007-05-01,99.2,99.75,97.28,98.39,1010147
2007-05-02,98.4,102.44,98.08,102.4,1379079
2007-05-03,102.6,105.5,102.6,105.23,2094100
2007-05-04,105.24,106.36,103.85,105.26,1198100
2007-05-07,105.48,106.19,104.84,105.08,888500
2007-05-08,104.18,105.9,103.13,105.87,1117000
2007-05-09,105.8,105.8,101.2,103.0,2780252
2007-05-10,101.99,102.23,98.65,98.65,2137543
2007-05-11,98.66,100.58,98.01,100.18,1262860
2007-05-14,100.43,101.13,99.07,99.29,1283006
2007-05-15,99.3,100.1,97.69,98.01,1513000
2007-05-16,98.68,98.8,97.64,97.96,1064142
2007-05-17,97.71,98.59,97.71,98.23,926900
2007-05-18,98.24,99.85,98.25,99.5,1108737
2007-05-21,99.25,100.86,98.79,100.05,995507
2007-05-22,100.15,101.72,99.54,101.4,1074800
2007-05-23,101.75,103.01,101.72,101.89,1024078
2007-05-24,102.25,102.75,100.19,100.28,1080000
2007-05-25,100.32,100.75,99.77,99.96,633200
2007-05-29,100.0,100.88,99.44,100.4,686400
2007-05-30,100.4,101.01,99.84,101.01,1067100
2007-05-31,102.0,102.38,100.97,101.03,1063100
2007-06-01,101.63,101.8,99.93,99.95,1191300
2007-06-04,101.45,101.74,99.52,100.01,798200
2007-06-05,99.5,99.8,99.0,99.2,1024200
2007-06-06,100.78,100.78,98.36,98.9,1051550
2007-06-07,98.9,98.91,97.08,97.08,1195394
2007-06-08,96.84,98.73,96.75,98.73,994027
2007-06-11,98.73,99.58,98.62,99.18,911600
2007-06-12,98.25,98.92,97.84,97.95,1266500
2007-06-13,98.65,99.19,98.4,99.0,1186800
2007-06-14,98.75,99.65,98.67,99.4,1268000
2007-06-15,99.63,100.3,99.5,100.19,1163600
2007-06-18,103.09,103.09,100.11,100.55,937700
2007-06-19,100.8,100.99,100.2,100.49,712500
2007-06-20,102.0,102.2,99.4,99.4,1750300
2007-06-21,99.5,99.57,97.87,98.6,1646200
2007-06-22,97.9,98.95,97.16,97.75,961280
2007-06-25,97.25,98.14,96.07,96.74,1016600
2007-06-26,96.75,100.03,95.88,99.13,3361643
2007-06-27,99.13,100.17,97.21,100.0,1562070
2007-06-28,100.25,100.9,99.68,100.4,1169129
2007-06-29,97.5,100.73,97.5,98.38,1352000
2007-07-02,98.39,100.31,98.66,100.31,958400
2007-07-03,100.5,100.8,100.45,100.74,582100
2007-07-05,100.75,100.75,99.9,100.39,685600
2007-07-06,99.94,100.75,99.93,100.75,549900
2007-07-09,100.75,100.9,99.29,100.2,675600
