Date,Open,High,Low,Close,Volume
2007-01-03,26.17,26.5,26.1,26.39,660300
2007-01-04,26.33,26.45,26.25,26.39,632100
2007-01-05,26.36,26.37,25.68,25.96,680900
2007-01-08,25.96,26.0,25.46,25.62,1239300
2007-01-09,25.63,25.63,25.19,25.39,1114700
2007-01-10,25.32,25.53,25.26,25.49,666700
2007-01-11,25.56,25.84,25.28,25.36,869600
2007-01-12,25.39,25.49,25.23,25.28,670600
2007-01-16,25.31,25.41,25.15,25.21,967200
2007-01-17,25.13,25.27,25.09,25.15,768300
2007-01-18,25.17,25.21,24.92,25.0,644200
2007-01-19,24.96,25.35,24.89,25.32,2223300
2007-01-22,25.3,25.67,25.21,25.55,1039800
2007-01-23,25.52,25.59,25.35,25.44,792000
2007-01-24,25.42,25.69,25.39,25.68,636700
2007-01-25,25.61,25.65,25.48,25.53,968400
2007-01-26,25.55,25.63,25.35,25.52,686100
2007-01-29,25.52,25.64,25.37,25.46,333200
2007-01-30,25.47,25.68,25.44,25.61,450900
2007-01-31,25.54,25.61,25.3,25.58,597100
2007-02-01,25.6,25.93,25.6,25.9,442000
2007-02-02,25.9,26.07,25.79,25.99,493100
2007-02-05,25.93,26.39,25.85,26.28,893900
2007-02-06,26.3,26.45,26.23,26.43,566900
2007-02-07,26.43,26.61,26.34,26.56,490000
2007-02-08,26.48,26.69,26.38,26.61,581700
2007-02-09,26.61,26.9,26.51,26.6,1145800
2007-02-12,26.6,26.7,26.55,26.6,483459
2007-02-13,26.61,26.75,26.58,26.65,323101
2007-02-14,26.65,27.17,26.65,27.0,916367
2007-02-15,26.95,27.05,26.86,26.93,383400
2007-02-16,26.94,26.95,26.78,26.89,584700
2007-02-20,26.77,26.92,26.76,26.88,395400
2007-02-21,26.89,26.97,26.79,26.87,500400
2007-02-22,26.87,27.2,26.68,26.79,498500
2007-02-23,26.8,27.11,26.74,27.05,595600
2007-02-26,27.3,27.84,27.3,27.43,750811
2007-02-27,27.11,27.29,26.42,26.76,638300
2007-02-28,26.75,27.0,26.55,26.58,749800
2007-03-01,26.62,27.25,26.2,26.85,1126029
2007-03-02,26.86,27.02,26.47,26.56,975600
2007-03-05,26.32,26.49,25.95,26.36,1006100
2007-03-06,26.1,26.54,25.98,26.51,881100
2007-03-07,26.54,26.69,26.27,26.53,1148600
2007-03-08,26.61,26.61,26.26,26.36,471100
2007-03-09,26.48,26.5,26.21,26.29,659000
2007-03-12,26.3,26.58,26.22,26.57,602800
2007-03-13,26.47,26.47,25.98,26.02,1103100
2007-03-14,26.1,26.37,25.85,26.34,1174500
2007-03-15,26.27,26.74,26.17,26.68,784900
2007-03-16,26.69,26.75,26.49,26.49,962900
2007-03-19,26.55,26.75,26.44,26.64,548100
2007-03-20,26.65,27.21,26.47,27.14,963800
2007-03-21,27.12,27.68,26.9,27.58,678700
2007-03-22,27.59,28.27,27.44,27.82,954900
2007-03-23,28.28,28.74,27.97,28.42,2286900
2007-03-26,28.42,28.69,28.27,28.53,2263700
2007-03-27,28.54,28.7,28.45,28.63,1054600
2007-03-28,28.46,28.94,28.46,28.81,856800
2007-03-29,28.82,29.03,28.75,29.02,1151500
2007-03-30,29.08,29.28,28.78,29.02,1428300
2007-04-02,29.18,29.66,29.12,29.58,1256900
2007-04-03,29.76,29.82,29.46,29.5,777900
2007-04-04,29.5,29.54,29.29,29.44,670700
2007-04-05,29.44,29.49,29.29,29.37,795200
2007-04-09,29.37,29.5,29.38,29.45,638400
2007-04-10,29.5,29.57,29.33,29.53,559700
2007-04-11,29.59,29.59,29.29,29.41,994000
2007-04-12,29.31,29.38,29.17,29.35,829000
2007-04-13,29.31,29.36,29.1,29.25,840400
2007-04-16,29.4,29.45,29.3,29.43,927900
2007-04-17,29.4,29.69,29.3,29.64,687800
2007-04-18,29.57,29.81,29.36,29.68,832900
2007-04-19,29.5,29.74,29.38,29.67,747300
2007-04-20,29.85,30.0,29.75,30.0,702500
2007-04-23,29.88,30.11,29.85,29.93,706200
2007-04-24,30.02,30.35,29.86,30.31,911019
2007-04-25,30.42,30.71,30.28,30.64,1104900
2007-04-26,30.62,30.7,30.12,30.2,1063200
2007-04-27,30.02,30.11,29.43,30.0,1021600
2007-04-30,30.0,30.08,29.46,29.52,600800
2007-05-01,29.46,29.82,29.31,29.63,910300
2007-05-02,29.67,30.1,29.5,30.0,910803
2007-05-03,29.99,30.13,29.75,29.88,516800
2007-05-04,29.86,29.95,29.68,29.81,528800
2007-05-07,29.9,30.21,29.87,29.93,785100
2007-05-08,29.77,29.83,29.57,29.82,862228
2007-05-09,29.69,29.93,29.65,29.86,516300
2007-05-10,29.79,29.88,29.59,29.64,1017300
2007-05-11,29.7,29.89,29.51,29.74,780700
2007-05-14,29.84,30.08,29.65,29.8,778800
2007-05-15,29.83,30.2,29.71,29.71,658600
2007-05-16,29.76,30.14,29.66,30.1,865300
2007-05-17,30.1,30.36,30.08,30.18,1077000
2007-05-18,30.22,30.55,30.17,30.55,716901
2007-05-21,30.51,30.65,30.35,30.6,548898
2007-05-22,30.55,30.64,30.32,30.4,694600
2007-05-23,30.39,30.57,29.78,29.94,1119035
2007-05-24,29.87,29.98,28.9,29.06,941713
2007-05-25,29.24,29.41,28.73,28.91,557500
2007-05-29,29.09,29.54,29.09,29.44,990400
2007-05-30,29.4,29.86,29.17,29.86,722600
2007-05-31,29.95,30.06,29.75,29.86,1010400
2007-06-01,30.0,30.03,29.56,29.73,1465200
2007-06-04,29.64,29.87,29.52,29.81,1238300
2007-06-05,29.81,29.81,29.01,29.11,1181000
2007-06-06,29.11,29.16,28.53,28.58,2378900
2007-06-07,28.35,28.4,26.89,27.15,1768755
2007-06-08,27.08,27.69,27.04,27.45,1907700
2007-06-11,27.44,27.86,27.25,27.7,885500
2007-06-12,27.63,27.88,27.4,27.54,1370500
2007-06-13,27.77,28.18,27.71,28.08,1230400
2007-06-14,28.09,28.3,27.93,28.05,1028400
2007-06-15,28.21,28.62,28.16,28.52,1158700
2007-06-18,28.54,28.67,28.27,28.34,572971
2007-06-19,28.35,28.59,28.04,28.37,1507900
2007-06-20,28.37,28.67,27.8,27.8,1978300
2007-06-21,27.79,28.32,27.7,28.26,1435787
2007-06-22,28.24,28.26,27.67,27.68,1263611
2007-06-25,27.82,28.22,27.64,27.72,970200
2007-06-26,27.73,28.59,27.68,27.76,1915200
2007-06-27,27.54,28.1,27.47,28.09,1030124
2007-06-28,28.15,28.78,28.1,28.32,1208700
2007-06-29,28.48,28.59,27.88,28.2,1499300
2007-07-02,28.21,28.73,28.21,28.68,1000700
2007-07-03,28.71,29.16,28.57,28.71,559400
2007-07-05,28.74,28.98,28.31,28.63,976200
2007-07-06,28.67,28.7,28.32,28.6,803000
2007-07-09,28.6,28.67,28.3,28.37,1975553
2007-07-10,28.15,28.56,27.99,28.01,1036500
2007-07-11,27.95,28.31,27.95,28.1,869300
2007-07-12,28.2,28.64,28.13,28.64,618000
2007-07-13,28.47,29.09,28.45,28.9,1250600
2007-07-16,28.88,28.88,28.33,28.34,1195400
2007-07-17,28.34,28.58,28.2,28.23,1098776
2007-07-18,28.23,28.41,28.0,28.36,1089700
2007-07-19,28.36,28.91,28.44,28.84,955800
2007-07-20,28.75,28.84,28.24,28.26,926135
2007-07-23,28.32,28.82,28.23,28.58,878200
2007-07-24,28.38,29.28,27.87,27.98,1446400
2007-07-25,27.98,28.44,27.59,28.09,1504200
2007-07-26,27.7,28.03,27.23,27.58,1564700
2007-07-27,27.42,27.71,27.17,27.24,1353261
2007-07-30,27.28,27.47,26.95,27.25,1267271
2007-07-31,27.44,27.95,27.07,27.07,1718100
2007-08-01,27.04,27.72,27.01,27.61,1246800
2007-08-02,27.69,27.85,27.17,27.35,1407767
2007-08-03,27.29,27.43,26.11,26.13,1253500
2007-08-06,26.13,27.0,25.78,26.8,1550300
2007-08-07,26.8,27.59,25.93,27.35,2651500
2007-08-08,27.43,27.43,26.25,26.89,2163500
2007-08-09,26.22,26.47,25.56,25.71,2512500
2007-08-10,25.3,26.26,24.61,26.1,1947410
2007-08-13,26.4,26.54,25.59,25.7,1834500
2007-08-14,25.87,26.17,25.47,25.59,1404712
2007-08-15,25.64,26.26,25.05,25.31,1088746
2007-08-16,25.0,25.48,24.2,25.05,1550400
2007-08-17,25.75,25.9,24.97,25.75,1154900
2007-08-20,25.76,26.28,25.54,26.24,1080600
2007-08-21,26.24,26.99,25.92,26.1,983900
2007-08-22,26.37,26.48,25.98,26.3,466300
2007-08-23,26.4,26.75,26.18,26.67,787900
2007-08-24,26.58,27.03,26.44,27.03,603400
2007-08-27,27.02,27.02,26.59,26.7,900500
2007-08-28,26.53,26.95,26.32,26.33,910400
2007-08-29,26.42,27.13,26.42,27.13,1008300
2007-08-30,26.95,27.45,26.92,27.2,1321200
2007-08-31,27.62,28.01,27.44,27.88,1574600
2007-09-04,27.91,28.29,27.68,28.15,1152000
2007-09-05,27.95,28.01,27.58,27.83,1024200
2007-09-06,27.57,27.67,27.19,27.43,1028300
2007-09-07,27.0,27.25,26.73,26.9,785300
2007-09-10,26.99,27.12,26.55,26.75,824400
